alloc,,robots,,perm,,reason
1,,[r2, r3, r4, r5, r1],,[5, 23, 1, 2, 100],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[5, 24, 2, 1, 4],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[3, 18, 2, 1, 68],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[2, 2, 1, 2, 37],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[4, 10, 1, 2, 42],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[2, 8, 1, 2, 5],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[2, 13, 2, 1, 118],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[5, 9, 2, 1, 86],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[5, 13, 1, 2, 92],,noPlanSynthesised

1,,[r2, r3, r4, r5, r1],,[1, 9, 2, 1, 83],,noPlanSynthesised

